site_code,annual_temp,annual_rain,developed_land,forest_land,crop_land,other_land,q_med,q_max,q_mu,q_sd,q_rsd,q_25,q_75,q_wcdc,q_cdc,q_fs,q_ds,q_lfpp,q_hfpp3,q_hfpp7,q_hfpp15,ammonia,conductivity,d_oxygen,doc,nitrate,ph,phosphate,temperature,turbidity,gravel,sand,silt,canopy,depth_mx,width,bluegreen_cyano,green_algae,diatoms,elevation_m,dam_distance_km,lake_density_sqkm,bay_distance_km
SF,22.2145,56.67231884,4.74,1.48,28.01,65.77,36.5287365,302990.295,417.4151752021397,5068.483743482465,138.7533276296722,23.219817,52.3861725,19536.288754401096,9.478080407452396,69.76831184345501,0.730487060626128,0.24657016991818753,0.15066079295154186,0.07816236626809314,0.03171806167400881,0.19286931818181816,1032.5808928571428,69.3235119047619,6.804204545454546,11.278920454553464,7.445833333333334,2.3979090909090908,24.039285714285715,88.12632146136855,0.26436684356034484,0.20816178575862068,0.4215600406350575,0.6682532533018019,0.23705803571428571,3.0437905172413795,0.27942307692307694,0.07930769230769232,0.7043173076923077,50,3.5,0.43,57.936384
TR,22.2415,54.17231884,15.8,1.45,26.34,56.41,5.9465385,3454.6557,49.38275750656814,154.15000961522784,25.92264552146225,0.8495054999999999,26.3346705,903.3939161506602,7.429405478666562,44.88425443169969,0.9523809523809524,0.21893814997263272,0.29447181171319103,0.20087575259989057,0.1368363437328955,0.22920440476190476,4795.116071428572,56.2825,13.656675,0.4537923809521569,8.203611111111112,0.2482103571428571,22.365714285714287,101.70552224287869,0.1642959770086207,0.17195629158908046,0.6269661221982759,0.6856663560691986,0.33325862068965517,4.395475,0.3709722222222222,0.06745370370370371,0.5508641975308642,18,12.8,0.43,14.8059648
AR,21.54733333,68.5326087,8.28,3.58,52.39,35.75,142.716924,829683.705,964.0237880333392,10420.362658480744,73.01420438742599,93.7287735,231.49024875,7995.971214614734,6.978327929246414,38.46500763842312,0.6564205929285295,0.24975713150225207,0.11684182637110306,0.06676675792634461,0.04133180252583238,0.16957198412698413,1060.473275862069,78.04879310344828,7.228375,6.270293650782633,8.001574074074075,1.8707869047619048,22.38706896551724,77.7259198261353,0.3983974358974358,0.3096153846153846,0.07852564102564102,0.6467274775225226,0.2699083333333333,4.157341091954023,0.8793055555555556,0.08339506172839506,0.7089598765432099,24,NA,0.824,93.341952
PD,21.5275,78.72898551,2.45,34.85,27.41,35.29,2.265348,155176.338,143.42912435693546,2159.8672185482646,953.4372725728076,0.2831685,9.3445605,1245347.9096443185,84.99580968721129,409.8841703056768,0.875,0,0.31595618318595753,0.14913554177114954,0.08552197439619902,0.4607222619047619,904.066,76.111,6.484075,0.13709380952386757,7.893229166666667,0.13937511904761904,22.911,78.80539061473408,0.09405606060333334,0.4202898268333333,0.28310865801333335,0.07571351352162162,0.4147,4.241784615384615,0.5909201388854166,0.13969618055208333,0.32365451388541666,45,6.6,1.898,91.0888704
MR,21.51616667,72.85028986,3.72,8.43,35.06,52.79,368.11905,908970.885,3759.335027705246,22753.80109970737,61.810985059608754,99.675312,870.7431374999999,1828.1157363581065,6.446931500893348,61.289401005116126,0.983201430705845,0.24975713150225207,0.20083016868321116,0.11339750949395036,0.06694338956107039,0.144558875,2110.5939583333334,70.64872023809524,7.416555555555556,0.0579321249997364,7.944537037037037,0.14487775,23.3875,68.8905348489142,0.07132183907758621,0.62856321838793106,0.25959770114655173,0.4738847180543043,0.5082946428571429,6.918528869047619,0.22891975308641976,0.16101851851851853,0.4008333333333333,6,55.8,0.802,36.0493056
GC,21.209,84.25101449,4.28,17.53,50.34,27.85,58.049542499999994,370950.735,1505.9564299072242,9794.263825054795,168.72249811537787,6.229706999999999,231.77341724999997,21985.354020833183,22.062651240837237,162.270971050832,0.9951219512195122,0.24887397332862315,0.29161882893226176,0.18449174247107655,0.12655656628102094,0.158705875,447.22534722222224,54.364583333333336,9.21225,0.1633253750001782,7.505905797101449,0.431249875,21.436458333333334,163.1685356391757,0.07764492752898551,0.7623913043550724,0.15996376811594204,0.626094074883316,0.3341176282051282,6.330494,0.35302083333333334,0.2153125,0.4993402777777778,13,27.4,1.052,33.1524864
PL,21.36258333,82.05065217,5.312,26.19,48.3,20.198,31.714872000000003,286000.185,1415.764724319085,9463.931407651922,298.4067351005522,11.0435715,109.303041,86992.09177557401,45.33344819646483,287.59882842025695,0.961199681981756,0.2486090258765345,0.26865671641791045,0.1840501633842621,0.13839088580764816,0.13162815789473684,1414.5259615384616,90.13230769230768,4.2212499999999995,1.5030500000016171,7.99688,0.1319590789473684,22.576923076923077,115.41345490050958,0.06145833333333334,0.4765306122380952,0.31022534014285713,0.4152968146633687,0.3001517857142857,3.602463392857143,0.4343397435865385,0.09615544872115384,1.022596153846154,8,NA,0.604,16.09344
WM,20.7865,94.17101449,3.58,4.19,82.49,9.74,475.72308,529525.095,4517.970885767884,18133.420321288457,38.117596315252264,124.59414,1670.69415,572.1546383668949,5.872911909177696,54.5503237198352,0.9539707035077404,0.24975713150225207,0.2733374547381436,0.16417910447761194,0.1037710854013954,0.24823460526315788,503.76197916666666,71.0890625,11.235027777777775,0.32678763157894736,7.858369565217392,0.16790618421052633,21.68958333333333,131.6656932363905,0.00652173913043478,0.7997826086956522,0.17467391304347826,0.650618118166917,0.5857,8.780223,0.1607,0.08600000000000001,0.26695,17,21.4,1.012,61.155072
EM,20.90783333,95.02463768,6.81,1.65,85.88,5.66,24.352490999999997,153194.1585,1239.299087916516,6133.559087691397,251.8657778250035,1.132674,175.56447,34207.77486483452,40.577206519399105,323.9223056328417,0.988372093023256,0.2484759539399413,0.34974034770828627,0.2527658613682547,0.18232106570331905,0.14696302631578947,558.4421296296297,68.93240740740741,5.254760416666667,0.6078990350877193,7.708942307692308,0.28851666666666664,22.248148148148147,126.00704137835916,0.0921153846153846,0.45709935897115384,0.4213621794903846,0.07044401544087836,0.5902758620689655,5.478968518518519,0.2864814814814815,0.12638888888888888,0.25546296296296295,19,NA,0.908,61.4769408
